name,token,normalizedName
Sagar Diamonds Ltd,540715,sagar diamonds
ICICI Lombard General Insurance Company Ltd,540716,icici lombard general insurance
Polo Queen Industrial and Fintech Ltd,540717,polo queen industrial and fintech
AKM Creations Ltd,540718,akm creations
SBI Life Insurance Company Ltd,540719,sbi life insurance
Prataap Snacks Ltd,540724,prataap snacks
Share India Securities Ltd,540725,share india securities
Trident Texofab Ltd,540726,trident texofab
Poojawestern Metaliks Ltd,540727,poojawestern metaliks
Sayaji Industries Ltd,540728,sayaji
Vanta Bioscience Ltd,540729,vanta bioscience
Mehai Technology Ltd,540730,mehai technology
IRIS Business Services Ltd,540735,iris business services
Shree Ganesh Remedies Ltd,540737,shree ganesh remedies
Shreeji Translogistics Ltd,540738,shreeji translogistics
Godrej Agrovet Ltd,540743,godrej agrovet
Mideast Integrated Steels Ltd,540744,mideast integrated steels
MAS Financial Services Ltd,540749,mas financial services
Indian Energy Exchange Ltd,540750,indian energy exchange
General Insurance Corporation of India,540755,general insurance corporation of
Kaarya Facilities and Services Ltd,540756,kaarya facilities and services
Sheetal Cool Products Ltd,540757,sheetal cool products
Tube Investments of India Ltd,540762,tube investments of
Nippon Life India Asset Management Ltd,540767,nippon life india asset management
Mahindra Logistics Ltd,540768,mahindra logistics
The New India Assurance Company Ltd,540769,the new india assurance
IFGL Refractories Ltd,540774,ifgl refractories
Khadim India Ltd,540775,khadim
5paisa Capital Ltd,540776,5paisa capital
HDFC Life Insurance Company Ltd,540777,hdfc life insurance
Sanghvi Brands Ltd,540782,sanghvi brands
Sharika Enterprises Ltd,540786,sharika enterprises
Aspira Pathlab & Diagnostics Ltd,540788,aspira pathlab diagnostics
Diligent Media Corporation Ltd,540789,diligent media corporation
Dynamic Cables Ltd,540795,dynamic cables
Ratnabhumi Developers Ltd,540796,ratnabhumi developers
Shalby Ltd,540797,shalby
Future Supply Chain Solutions Ltd,540798,future supply chain solutions
MRC Agrotech Ltd,540809,mrc agrotech
Diggi Multitrade Ltd,540811,diggi multitrade
Sadhna Broadcast Ltd,540821,sadhna broadcast
Vitesse Agro Ltd,540823,vitesse agro
Astron Paper & Board Mill Ltd,540824,astron paper board mill
Chandrima Mercantiles Ltd,540829,chandrima mercantiles
Rithwik Facility Management Services Ltd,540843,rithwik facility management services
Jhandewalas Foods Ltd,540850,jhandewalas foods
Apollo Micro Systems Ltd,540879,apollo micro systems
Newgen Software Technologies Ltd,540900,newgen software technologies
Praxis Home Retail Ltd,540901,praxis home retail
Amber Enterprises India Ltd,540902,amber enterprises
CRP Risk Management Ltd,540903,crp risk management
Tirupati Foam Ltd,540904,tirupati foam
SRU Steels Ltd,540914,sru steels
Ashoka Metcast Ltd,540923,ashoka metcast
Galaxy Surfactants Ltd,540935,galaxy surfactants
Gautam Gems Ltd,540936,gautam gems
Medico Remedies Ltd,540937,medico remedies
Gujarat Hy-Spin Ltd,540938,gujarat hy spin
Focus Suites Solutions & Services Ltd,540945,focus suites solutions services
Lorenzini Apparels Ltd,540952,lorenzini apparels
Kenvi Jewels Ltd,540953,kenvi jewels
The Indian Wood Products Company Ltd,540954,the indian wood products
Tasty Dairy Specialities Ltd,540955,tasty dairy specialities
Bhatia Communications & Retail (India) Ltd,540956,bhatia communications retail
Shiva Mills Ltd,540961,shiva mills
Aster DM Healthcare Ltd,540975,aster dm healthcare
