name,token,normalizedName
S.R.INDUSTRIES LTD.,513515,s r
STEELCAST LTD.,513517,steelcast
Pitti Engineering Ltd,513519,pitti engineering
GLITTEK GRANITES LTD.,513528,glittek granites
Stelco Strips Ltd.,513530,stelco strips
PRADEEP METALS LTD.,513532,pradeep metals
VARDHMAN INDUSTRIES LTD.,513534,vardhman
Gujarat Natural Resources Limited,513536,gujarat natural resources
TAMILNADU STEEL TUBES LTD.,513540,tamilnadu steel tubes
MARDIA SAMYOUNG CAPILLARY TUBES COMPANY LTD.,513544,mardia samyoung capillary tubes
SHARDA ISPAT LTD.,513548,sharda ispat
MAHAMAYA STEEL INDUSTRIES LTD.,513554,mahamaya steel
REAL STRIPS LTD.,513558,real strips
NOVA IRON & STEEL LTD.,513566,nova iron steel
Sterling Powergensys Limited,513575,sterling powergensys
FOUNDRY FUEL PRODUCTS LTD.,513579,foundry fuel products
SB & T INTERNATIONAL LTD.,513583,sb t international
SURANA INDUSTRIES LTD.,513597,surana
HINDUSTAN COPPER LTD.,513599,hindustan copper
Srikalahasthi Pipes Limited,513605,srikalahasthi pipes
PITHAMPUR STEELS LTD.,513611,pithampur steels
Presha Metallurgical Ltd.,513613,presha metallurgical
Krishna Ferro Products Ltd.,513627,krishna ferro products
TULSYAN NEC LTD.,513629,tulsyan nec
Rajesh Malleables Ltd.,513630,rajesh malleables
AXEL POLYMERS LTD.,513642,axel polymers
MARG PROJECTS AND INFRASTRUCTURE LTD.,513648,marg projects and infrastructure
NLC India Ltd,513683,nlc
SPECTRA INDUSTRIES LTD.,513687,spectra
JMT AUTO LTD.,513691,jmt auto
KIC METALIKS LTD.,513693,kic metaliks
SOLID STONE COMPANY LTD.,513699,solid stone
KUMAR WIRE CLOTH MANUFACTURING COMPANY LTD.,513703,kumar wire cloth manufacturing
SHILP GRAVURES LTD.,513709,shilp gravures
White Organic Agro Ltd,513713,white organic agro
MFS INTERCORP LTD.,513721,mfs intercorp
HG Industries Ltd,513723,hg
RANJEEV ALLOYS LTD.,513727,ranjeev alloys
ARO GRANITE INDUSTRIES LTD.,513729,aro granite
HIMACHAL FIBRES LTD.,514010,himachal fibres
RAJKAMAL SYNTHETICS LTD.,514028,rajkamal synthetics
DEEPAK SPINNERS LTD.,514030,deepak spinners
JBF INDUSTRIES LTD.,514034,jbf
LOYAL TEXTILE MILLS LTD.,514036,loyal textile mills
HIMATSINGKA SEIDE LTD.,514043,himatsingka seide
BSL LTD.,514045,bsl
Evergreen Textiles Limited,514060,evergreen textiles
PBM POLYTEX LTD.,514087,pbm polytex
ADINATH TEXTILES LTD.,514113,adinath textiles
GUPTA SYNTHETICS LTD.,514116,gupta synthetics
ESKAY K'N'IT (INDIA) LTD.,514118,eskay k n it
KONARK SYNTHETIC LTD.,514128,konark synthetic
SURYALATA SPINNING MILLS LTD.,514138,suryalata spinning mills
SURYAVANSHI SPINNING MILLS LTD.,514140,suryavanshi spinning mills
T T LTD.,514142,t t
UNIWORTH LTD.,514144,uniworth
WELSPUN INDIA LTD.,514162,welspun
INDIAN ACRYLICS LTD.,514165,indian acrylics
GANESHA ECOSPHERE LTD.,514167,ganesha ecosphere
CEETA INDUSTRIES LTD.,514171,ceeta
VARDHMAN POLYTEX LTD.,514175,vardhman polytex
RISHAB SPECIAL YARNS LTD.,514177,rishab special yarns
BLACK ROSE INDUSTRIES LTD.,514183,black rose
S&T CORPORATION LTD.,514197,s t corporation
BALA TECHNO INDUSTRIES LTD.,514199,bala techno
SUMEET INDUSTRIES LTD.,514211,sumeet
BINNY LTD.,514215,binny
K-Lifestyle & Industries Limited,514221,k lifestyle
RAMGOPAL POLYTEX LTD.,514223,ramgopal polytex
SANGAM (INDIA) LTD.,514234,sangam
TTL Enterprises Ltd,514236,ttl enterprises
Mkventures Capital Ltd,514238,mkventures capital
Kush Industries Ltd,514240,kush
SREECHEM RESINS LTD.,514248,sreechem resins
SEASONS TEXTILES LTD.,514264,seasons textiles
ZENITH FIBRES LTD.,514266,zenith fibres
BHILWARA SPINNERS LTD.,514272,bhilwara spinners
AARVEE DENIMS & EXPORTS LTD.,514274,aarvee denims exports
Sanrhea Technical Textiles Ltd.,514280,sanrhea technical textiles
ASHIMA LTD.,514286,ashima
Haryana Texprints (Overseas) Limited,514296,haryana texprints overseas
PIONEER EMBROIDERIES LTD.,514300,pioneer embroideries
VIPPY SPINPRO LTD.,514302,vippy spinpro
S.kumars Nationwide Ltd.,514304,s kumars nationwide
Hanjer Fibres Ltd.,514308,hanjer fibres
JAIHIND SYNTHETICS LTD.,514312,jaihind synthetics
RAGHUVIR SYNTHETICS LTD.,514316,raghuvir synthetics
JATTASHANKAR INDUSTIES LTD.,514318,jattashankar industies
KAMADGIRI FASHION LTD.,514322,kamadgiri fashion
OMNITEX INDUSTRIES (INDIA) LTD.,514324,omnitex industries
PATSPIN INDIA LTD.,514326,patspin
One Global Service Provider Ltd,514330,one global service provider
NEO INFRACON LTD.,514332,neo infracon
Genesis Ibrc India Ltd,514336,genesis ibrc
WINSOME YARNS LTD.,514348,winsome yarns
PREMIER POLYFILM LTD.,514354,premier polyfilm
Everlon Financials Ltd,514358,everlon financials
Gupta Carpets International Ltd.,514360,gupta carpets international
CITIZEN YARNS LTD.,514366,citizen yarns
YARN SYNDICATE LTD.,514378,yarn syndicate
GUJARAT COTEX LTD.,514386,gujarat cotex
Atlas Jewellery India Limited,514394,atlas jewellery
GARWARE SYNTHETICS LTD.,514400,garware synthetics
Eco Hotels And Resorts Ltd,514402,eco hotels and resorts
SARUP INDUSTRIES LTD.,514412,sarup
OXFORD INDUSTRIES LTD.,514414,oxford
Mangalam Organics Limited,514418,mangalam organics
HINDUSTAN ADHESIVES LTD.,514428,hindustan adhesives
Blue Pearl Texspin Limited,514440,blue pearl texspin
SRI KPR INDUSTRIES LTD.,514442,sri kpr
Ls Industries Ltd.,514446,ls
JYOTI RESINS & ADHESIVES LTD.,514448,jyoti resins adhesives
Mahalaxmi Rubtech Ltd.,514450,mahalaxmi rubtech
SOUTHERN LATEX LTD.,514454,southern latex
OSWAL YARNS LTD.,514460,oswal yarns
WINSOME TEXTILE INDUSTRIES LTD.,514470,winsome textile
FAIR DEAL FILAMENTS LTD.,514474,fair deal filaments
Asahi Industries Limited,514482,asahi
THAMBBI MODERN SPINNING MILLS LTD.,514484,thambbi modern spinning mills
POLYGENTA TECHNOLOGIES LTD.,514486,polygenta technologies
REGENCY CERAMICS LTD.,515018,regency ceramics
ASAHI INDIA GLASS LTD.,515030,asahi india glass
MURUDESHWAR CERAMICS LTD.,515037,murudeshwar ceramics
SAINT-GOBAIN SEKURIT INDIA LTD.,515043,saint gobain sekurit
Anant Raj Limited,515055,anant raj
MADHUSUDAN INDUSTRIES LTD.,515059,madhusudan
SRI VAJRA GRANITES LTD.,515081,sri vajra granites
RESTILE CERAMICS LTD.,515085,restile ceramics
MADHAV MARBLES & GRANITES LTD.,515093,madhav marbles granites
Gee Gee Granites Ltd.,515097,gee gee granites
Vertical Industries Ltd,515099,vertical
Ramasigns Industries Ltd,515127,ramasigns
HINDUSTHAN NATIONAL GLASS & INDUSTRIES LTD.,515145,hindusthan national glass
Haldyn Glass Ltd,515147,haldyn glass
Duroply Industries Ltd,516003,duroply
MANGALAM TIMBER PRODUCTS LTD.,516007,mangalam timber products
SHREYANS INDUSTRIES LTD.,516016,shreyans
AGIO PAPER & INDUSTRIES LTD.,516020,agio paper
STAR PAPER MILLS LTD.,516022,star paper mills
Pakka Ltd,516030,pakka
Tahmar Enterprises Ltd,516032,tahmar enterprises
SOMA PAPERS & INDUSTRIES LTD.,516038,soma papers
NATIONAL PLYWOOD INDUSTRIES LTD.,516062,national plywood
Arrow Greentech Ltd,516064,arrow greentech
VISHNU CHEMICALS LTD.,516072,vishnu chemicals
JUMBO BAG LTD.,516078,jumbo bag
N.R.AGARWAL INDUSTRIES LTD.,516082,n r agarwal
SHREE RAJESHWARANAND PAPER MILLS LTD.,516086,shree rajeshwaranand paper mills
3P Land Holdings Ltd,516092,3p land holdings
SANGAL PAPERS LTD.,516096,sangal papers
VENTURA TEXTILES LTD.,516098,ventura textiles
SHREE KARTHIK PAPERS LTD.,516106,shree karthik papers
SOUTH INDIA PAPER MILLS LTD.,516108,south india paper mills
Family Care Hospitals Ltd,516110,family care hospitals
Birla Power Solutions Ltd.,517001,birla power solutions
VINDHYA TELELINKS LTD.,517015,vindhya telelinks
RIR Power Electronics Ltd,517035,rir power electronics
ADOR WELDING LTD.,517041,ador welding
INTERNATIONAL DATA MANAGEMENT LTD.,517044,international data management
SALZER ELECTRONICS LTD.,517059,salzer electronics
JETKING INFOTRAIN LTD.,517063,jetking infotrain
IND-AGIV COMMERCE LTD.,517077,ind agiv commerce
High Ground Enterprise Ltd,517080,high ground enterprise
APLAB LTD.,517096,aplab
PCS TECHNOLOGY LTD.,517119,pcs technology
MOSER BAER INDIA LTD.,517140,moser baer
USHA MARTIN LTD.,517146,usha martin
ZENITH COMPUTERS LTD.,517164,zenith computers
SPEL SEMICONDUCTOR LTD.,517166,spel semiconductor
SUBROS LTD.,517168,subros
Edvenswa Enterprises Ltd,517170,edvenswa enterprises
Pervasive Commodities Ltd,517172,pervasive commodities
HONEYWELL AUTOMATION INDIA LTD.,517174,honeywell automation
SWITCHING TECHNOLOGIES GUNTHER LTD.,517201,switching technologies gunther
LUMAX INDUSTRIES LTD.,517206,lumax
Digispice Technologies Ltd,517214,digispice technologies
SUJANA UNIVERSAL INDUSTRIES LTD.,517224,sujana universal
TREND ELECTRONICS LTD.,517228,trend electronics
PAE LTD.,517230,pae
CALCOM VISION LTD.,517236,calcom vision
DYNAVISION LTD.,517238,dynavision
BCC FUBA INDIA LTD.,517246,bcc fuba
PRECISION ELECTRONICS LTD.,517258,precision electronics
FINE-LINE CIRCUITS LTD.,517264,fine line circuits
HBL POWER SYSTEMS LTD.,517271,hbl power systems
S&S POWER SWITCHGEAR LTD.,517273,s s power switchgear
Gujarat Poly Electronics Ltd,517288,gujarat poly electronics
Phoenix Lamps Limited,517296,phoenix lamps
GUJARAT INDUSTRIES POWER CO.LTD.,517300,gujarat industries power co
SAVANT INFOCOMM LTD.,517320,savant infocomm
Cmc Ltd.,517326,cmc
CMI LTD.,517330,cmi
Samvardhana Motherson International Ltd,517334,samvardhana motherson international
MINDTECK (INDIA) LTD.,517344,mindteck
HAVELLS INDIA LTD.,517354,havells
ACI INFOCOM LTD.,517356,aci infocom
SBEC SYSTEMS (INDIA) LTD.,517360,sbec systems
INCAP LTD.,517370,incap
GUJARAT INTRUX LTD.,517372,gujarat intrux
MUKESH STRIPS LTD.,517374,mukesh strips
IGARASHI MOTORS INDIA LTD.,517380,igarashi motors
Symphony Limited,517385,symphony
Gamma Infoway Exalt Ltd.,517391,gamma infoway exalt
VINTRON INFORMATICS LTD.,517393,vintron informatics
PAN ELECTRONICS INDIA LTD.,517397,pan electronics
VXL INSTRUMENTS LTD.,517399,vxl instruments
SUN SOURCE (INDIA) LTD.,517403,sun source
SHYAM TELECOM LTD.,517411,shyam telecom
LEE & NEE SOFTWARES (EXPORTS) LTD.,517415,lee nee softwares exports
PATELS AIRTEMP (INDIA) LTD.,517417,patels airtemp
Butterfly Gandhimathi Appliances Ltd,517421,butterfly gandhimathi appliances
INTEGRA SWITCHGEAR LTD.,517423,integra switchgear
Athena Global Technologies Ltd,517429,athena global technologies
NARMADA MACPLAST DRIP IRRIGATION SYSTEMS LTD.,517431,narmada macplast drip irrigation systems
INNOVATION SOFTWARE EXPORTS LTD.,517433,innovation software exports
DUTRON POLYMERS LTD.,517437,dutron polymers
R.S.SOFTWARE INDIA LTD.,517447,r s software
MAGNA ELECTRO CASTINGS LTD.,517449,magna electro castings
LINAKS MICROELECTRONICS LTD.,517463,linaks microelectronics
MARSONS LIMITED,517467,marsons
KOA TOOLS INDIA LTD.,517471,koa tools
ELNET TECHNOLOGIES LTD.,517477,elnet technologies
Artech Power & Trading Ltd,517481,artech power trading
Accel Ltd,517494,accel
RICOH INDIA LTD.,517496,ricoh
WEBSOL ENERGY SYSTEM LTD.,517498,websol energy system
ROTO PUMPS LTD.,517500,roto pumps
TTK PRESTIGE LTD.,517506,ttk prestige
D&H India Ltd,517514,d h
Leel Electricals Ltd,517518,leel electricals
RAJRATAN GLOBAL WIRE LTD.,517522,rajratan global wire
Surana Telecom And Power Limited,517530,surana telecom and power
Nivyah Infrastructure & Telecom Services Ltd.,517534,nivyah infrastructure telecom services
ONWARD TECHNOLOGIES LTD.,517536,onward technologies
CENTUM ELECTRONICS LTD.,517544,centum electronics
ALFA TRANSFORMERS LTD.,517546,alfa transformers
STARLITE COMPONENTS LTD.,517548,starlite components
ADVANCED MICRONIC DEVICES LTD.,517552,advanced micronic devices
NHC FOODS LTD.,517554,nhc foods
PVP VENTURES LTD.,517556,pvp ventures
TRIGYN TECHNOLOGIES LTD.,517562,trigyn technologies
GR CABLES LTD.,517564,gr cables
Ashco Niulab Industries Ltd.,517565,ashco niulab
KEI INDUSTRIES LTD.,517569,kei
IMP POWERS LTD.,517571,imp powers
DMC Education Ltd,517973,dmc education
KEERTHI INDUSTRIES LTD.,518011,keerthi
Bheema Cements Ltd.,518017,bheema cements
GUJARAT SIDHEE CEMENT LTD.,518029,gujarat sidhee cement
SURAJ PRODUCTS LTD.,518075,suraj products
ANJANI PORTLAND CEMENT LTD.,518091,anjani portland cement
Modi Naturals Limited,519003,modi naturals
PRASHANT INDIA LTD.,519014,prashant
SHAH FOODS LTD.,519031,shah foods
Wadala Commodities Ltd.,519035,wadala commodities
Vippy Industries Ltd.,519039,vippy
KHANDELWAL EXTRACTION LTD.,519064,khandelwal extraction
TASTY BITE EATABLES LTD.,519091,tasty bite eatables
RITESH INTERNATIONAL LTD.,519097,ritesh international
AVT NATURAL PRODUCTS LTD.,519105,avt natural products
HINDUSTAN FOODS LTD.,519126,hindustan foods
NAHAR INDUSTRIAL ENTERPRISES LTD.,519136,nahar industrial enterprises
VADILAL ENTERPRISES LTD.,519152,vadilal enterprises
VADILAL INDUSTRIES LTD.,519156,vadilal
ASHIANA AGRO INDUSTRIES LTD.,519174,ashiana agro
ADF FOODS LTD.,519183,adf foods
Retro Green Revolution Ltd,519191,retro green revolution
NAVCOM INDUSTRIES LTD.,519200,navcom
WILLIAMSON FINANCIAL SERVICES LTD.,519214,williamson financial services
AJANTA SOYA LTD.,519216,ajanta soya
WILLIAMSON MAGOR & COMPANY LTD.,519224,williamson magor
Richirich Inventures Limited,519230,richirich inventures
Superior Industrial Enterprises Limited,519234,superior industrial enterprises
SAPTARISHI AGRO INDUSTRIES LTD.,519238,saptarishi agro
SARDA PROTEINS LTD.,519242,sarda proteins
JVL AGRO INDUSTRIES LTD.,519248,jvl agro
Sanwaria Consumer Ltd,519260,sanwaria consumer
PRIMA AGRO LTD.,519262,prima agro
UNNO INDUSTRIES LTD.,519273,unno
MADHUR INDUSTRIES LTD.,519279,madhur
AGRO DUTCH INDUSTRIES LTD.,519281,agro dutch
TARAI FOODS LTD.,519285,tarai foods
MODERN DAIRIES LTD.,519287,modern dairies
BAMBINO AGRO INDUSTRIES LTD.,519295,bambino agro
PRIME INDUSTRIES LTD.,519299,prime
Trombo Extractions Ltd,519303,trombo extractions
VIKAS WSP LTD.,519307,vikas wsp
Jatalia Global Ventures Ltd,519319,jatalia global ventures
MURLI INDUSTRIES LTD.,519323,murli
VSF PROJECTS LTD.,519331,vsf projects
BANSISONS TEA INDUSTRIES LTD.,519353,bansisons tea
POONA DAL & OIL INDUSTRIES LTD.,519359,poona dal oil
TRANSGLOBE FOODS LTD.,519367,transglobe foods
VIMAL OIL & FOODS LTD.,519373,vimal oil foods
ANIK INDUSTRIES LTD.,519383,anik
SHARAT INDUSTRIES LTD.,519397,sharat
Datiware Maritime Infra Ltd,519413,datiware maritime infra
KMG MILK FOOD LTD.,519415,kmg milk food
KSE LTD.,519421,kse
PIONEER AGRO EXTRACTS LTD.,519439,pioneer agro extracts
NARBADA GEMS AND JEWELLERY LTD.,519455,narbada gems and jewellery
VIRAT CRANE INDUSTRIES LTD.,519457,virat crane
Ib Infotech Enterprises Ltd.,519463,ib infotech enterprises
Ambar Protein Industries Ltd,519471,ambar protein
CHORDIA FOOD PRODUCTS LTD.,519475,chordia food products
CIAN Agro Industries & Infrastructure Ltd,519477,cian agro industries infrastructure
OMEGA AG-SEEDS (PUNJAB) LTD.,519479,omega ag seeds punjab
TAI INDUSTRIES LTD.,519483,tai
Kohinoor Techno Engineers Limited,519485,kohinoor techno engineers
OCEAN AGRO (INDIA) LTD.,519491,ocean agro
N.K.INDUSTRIES LTD.,519494,n k
Bkv Industries Ltd.,519500,bkv
NCC BLUE WATER PRODUCTS LTD.,519506,ncc blue water products
ASIAN TEA & EXPORTS LTD.,519532,asian tea exports
Heritage Foods Limited,519552,heritage foods
NEHA INTERNATIONAL LTD.,519560,neha international
SIMRAN FARMS LTD.,519566,simran farms
LAKSHMI OVERSEAS INDUSTRIES LTD.,519570,lakshmi overseas
Smilax Industries Limited,519586,smilax
DFM FOODS LTD.,519588,dfm foods
CCL PRODUCTS (INDIA) LTD.,519600,ccl products
Kellton Tech Solutions Ltd.,519602,kellton tech solutions
SURYO FOODS & INDUSTRIES LTD.,519604,suryo foods
INTEGRATED PROTEINS LTD.,519606,integrated proteins
MAHAAN FOODS LTD.,519612,mahaan foods
Vybra Automet Ltd.,520003,vybra automet
RICO AUTO INDUSTRIES LTD.,520008,rico auto
OMAX AUTOS LTD.,520021,omax autos
Hella India Lighting Ltd.,520026,hella india lighting
MUNJAL SHOWA LTD.,520043,munjal showa
JAMNA AUTO INDUSTRIES LTD.,520051,jamna auto
TVS Holdings Ltd,520056,tvs holdings
Jtekt India Ltd,520057,jtekt
MUNJAL AUTO INDUSTRIES LTD.,520059,munjal auto
JAY BHARAT MARUTI LTD.,520066,jay bharat maruti
RACL Geartech Ltd,520073,racl geartech
SAMKRG PISTONS & RINGS LTD.,520075,samkrg pistons rings
AMTEK AUTO LTD.,520077,amtek auto
EAST COAST STEEL LTD.,520081,east coast steel
SICAL LOGISTICS LTD.,520086,sical logistics
RATNAMANI METALS & TUBES LTD.,520111,ratnamani metals tubes
VESUVIUS INDIA LTD.,520113,vesuvius
BRAKES AUTO (INDIA) LTD.,520115,brakes auto
AUTOMOTIVE STAMPINGS & ASSEMBLIES LTD.,520119,automotive stampings assemblies
ARCEE INDUSTRIES LTD.,520121,arcee
ABC INDIA LTD.,520123,abc
BALURGHAT TECHNOLOGIES LTD.,520127,balurghat technologies
COASTAL ROADWAYS LTD.,520131,coastal roadways
JAGSON AIRLINES LTD.,520139,jagson airlines
SIBAR AUTO PARTS LTD.,520141,sibar auto parts
SHREYAS SHIPPING & LOGISTICS LTD.,520151,shreyas shipping logistics
Starlog Enterprises Ltd,520155,starlog enterprises
SHIVA SUITINGS LTD.,521003,shiva suitings
Titan Intech Ltd,521005,titan intech
EUROTEX INDUSTRIES & EXPORTS LTD.,521014,eurotex industries exports
INDO COUNT INDUSTRIES LTD.,521016,indo count
MARAL OVERSEAS LTD.,521018,maral overseas
SURYAJYOTI SPINNING MILLS LTD.,521022,suryajyoti spinning mills
Nakoda Limited,521030,nakoda
SOMA TEXTILES & INDUSTRIES LTD.,521034,soma textiles
SOURCE INDUSTRIES (INDIA) LTD.,521036,source industries
TAMILNADU JAIBHARAT MILLS LTD.,521038,tamilnadu jaibharat mills
Vanasthali Textile Industries Ltd.,521046,vanasthali textile
ADVANCE LIFESTYLES LTD.,521048,advance lifestyles
KAKATIYA TEXTILES LTD.,521054,kakatiya textiles
Cheslind Textiles Ltd.,521056,cheslind textiles
Perfect-Octave Media Projects Ltd,521062,perfect octave media projects
TRIDENT LTD.,521064,trident
HISAR SPINNING MILLS LTD.,521068,hisar spinning mills
ALOK INDUSTRIES LTD.,521070,alok
AMIT SPINNING INDUSTRIES LTD.,521076,amit spinning
PASARI SPINNING MILLS LTD.,521080,pasari spinning mills
SPENTEX INDUSTRIES LTD.,521082,spentex
AMARJOTHI SPINNING MILLS LTD.,521097,amarjothi spinning mills
OLYMPIA INDUSTRIES LTD.,521105,olympia
NAGREEKA EXPORTS LTD.,521109,nagreeka exports
SUDITI INDUSTRIES LTD.,521113,suditi
KHATOR FIBRE & FABRICS LTD.,521127,khator fibre fabrics
Shree Bhavya Fabrics Ltd,521131,shree bhavya fabrics
GEM SPINNERS INDIA LTD.,521133,gem spinners
EUREKA INDUSTRIES LTD.,521137,eureka
ADITYA SPINNERS LTD.,521141,aditya spinners
PRIME URBAN DEVELOPMENT INDIA LTD.,521149,prime urban development
DHANLAXMI FABRICS LTD.,521151,dhanlaxmi fabrics
SRI LAKSHMI SARASWATHI TEXTILES (ARNI) LTD.,521161,sri lakshmi saraswathi textiles arni
ZODIAC CLOTHING CO.LTD.,521163,zodiac clothing co
FRONTLINE BUSINESS SOLUTIONS LTD.,521167,frontline business solutions
ARORA FIBRES LTD.,521174,arora fibres
GANGOTRI TEXTILES LTD.,521176,gangotri textiles
SRI RAMAKRISHNA MILLS (COIMBATORE) LTD.,521178,sri ramakrishna mills coimbatore
SUPER SPINNING MILLS LTD.,521180,super spinning mills
SEASONS FURNISHINGS LTD.,521182,seasons furnishings
UNITED TEXTILES LTD.,521188,united textiles
SIL INVESTMENTS LTD.,521194,sil investments
SURYALAKSHMI COTTON MILLS LTD.,521200,suryalakshmi cotton mills
SAMTEX FASHIONS LTD.,521206,samtex fashions
CITYMAN LTD.,521210,cityman
DHANALAXMI ROTO SPINNERS LTD.,521216,dhanalaxmi roto spinners
DAMODAR INDUSTRIES LTD.,521220,damodar
SANBLUE CORPORATION LTD.,521222,sanblue corporation
UNIROYAL INDUSTRIES LTD.,521226,uniroyal
TATIA GLOBAL VENNTURE LTD.,521228,tatia global vennture
SUNIL INDUSTRIES LTD.,521232,sunil
SRI NACHAMMAI COTTON MILLS LTD.,521234,sri nachammai cotton mills
KKRRAFTON Developers Ltd,521238,kkrrafton developers
SAMBANDAM SPINNING MILLS LTD.,521240,sambandam spinning mills
KANDAGIRI SPINNING MILLS LTD.,521242,kandagiri spinning mills
Chitradurga Spintex Ltd.,521244,chitradurga spintex
PARAS PETROFILS LTD.,521246,paras petrofils
KITEX GARMENTS LTD.,521248,kitex garments
CRANEX LTD.,522001,cranex
BATLIBOI LTD.,522004,batliboi
AUSTIN ENGINEERING CO.LTD.,522005,austin engineering co
UNITED DRILLING TOOLS LTD.,522014,united drilling tools
VCCL LTD.,522015,vccl
FLUIDOMAT LTD.,522017,fluidomat
EMA INDIA LTD.,522027,ema
WINDSOR MACHINES LTD.,522029,windsor machines
SHANTHI GEARS LTD.,522034,shanthi gears
MIVEN MACHINE TOOLS LTD.,522036,miven machine tools
S.m.energy Teknik & Electronics Ltd.,522042,s m energy teknik electronics
Honda India Power Products Ltd,522064,honda india power products
The Hi-Tech Gears Ltd,522073,the hi tech gears
ELGI EQUIPMENTS LTD.,522074,elgi equipments
Terruzzi Fercalx India Limited,522080,terruzzi fercalx
STONE INDIA LTD.,522085,stone
United Van Der Horst Ltd.,522091,united van der horst
KILBURN ENGINEERING LTD.,522101,kilburn engineering
BIRLA PRECISION TECHNOLOGIES LTD.,522105,birla precision technologies
YUKEN INDIA LTD.,522108,yuken
TIMKEN INDIA LTD.,522113,timken
VOITH PAPER FABRICS INDIA LTD.,522122,voith paper fabrics
ARTSON ENGINEERING LTD.,522134,artson engineering
Techno Forge Ltd.,522142,techno forge
ADITYA FORGE LTD.,522150,aditya forge
SOLITAIRE MACHINE TOOLS LTD.,522152,solitaire machine tools
Diamond Power Infrastructure Limited,522163,diamond power infrastructure
INDSIL HYDRO POWER AND MANGANESE LTD.,522165,indsil hydro power and manganese
TMT (INDIA) LTD.,522171,tmt
SVOGL Oil Gas And Energy Ltd,522175,svogl oil gas and energy
ITL INDUSTRIES LTD.,522183,itl
FRONTIER SPRINGS LTD.,522195,frontier springs
PRAJ INDUSTRIES LTD.,522205,praj
RASANDIK ENGINEERING INDUSTRIES INDIA LTD.,522207,rasandik engineering industries
YOGI SUNG-WON (INDIA) LTD.,522209,yogi sung won
HLE Glascoat Ltd,522215,hle glascoat
GUJARAT APOLLO INDUSTRIES LTD.,522217,gujarat apollo
TANEJA AEROSPACE & AVIATION LTD.,522229,taneja aerospace aviation
CONART ENGINEERS LTD.,522231,conart engineers
VHCL INDUSTRIES LTD.,522233,vhcl
Minal Industries Limited,522235,minal
SHIVAGRICO IMPLEMENTS LTD.,522237,shivagrico implements
M.M.FORGINGS LTD.,522241,m m forgings
IYKOT HITECH TOOLROOM LTD.,522245,iykot hitech toolroom
MAYUR UNIQUOTERS LTD.,522249,mayur uniquoters
CENLUB INDUSTRIES LTD.,522251,cenlub
RAJOO ENGINEERS LTD.,522257,rajoo engineers
Kalindee Rail Nirman (Engineers) Ltd,522259,kalindee rail nirman engineers
DOLPHIN OFFSHORE ENTERPRISES (INDIA) LTD.,522261,dolphin offshore enterprises
JMC PROJECTS (INDIA) LTD.,522263,jmc projects
VEEJAY LAKSHMI ENGINEERING WORKS LTD.,522267,veejay lakshmi engineering works
AHMEDABAD STEELCRAFT LTD.,522273,ahmedabad steelcraft
GE T&D India Ltd,522275,ge t d
Satellite Engineering Ltd.,522279,satellite engineering
RAM RATNA WIRES LTD.,522281,ram ratna wires
JAYASWAL NECO INDUSTRIES LTD.,522285,jayaswal neco
Kalpataru Projects International Ltd,522287,kalpataru projects international
NMS Resources Global Ltd,522289,nms resources global
Candour Techtex Ltd,522292,candour techtex
T & I GLOBAL LTD.,522294,t i global
CONTROL PRINT LTD.,522295,control print
S.s.forgings & Engineering Ltd.,522296,s s forgings engineering
BEMCO HYDRAULICS LTD.,522650,bemco hydraulics
PROFESSIONAL DIAMONDS LTD.,523001,professional diamonds
ANSAL BUILDWELL LTD.,523007,ansal buildwell
WEIZMANN LTD.,523011,weizmann
B.N.RATHI SECURITIES LTD.,523019,b n rathi securities
RISHI TECHTEX LTD.,523021,rishi techtex
SINCLAIRS HOTELS LTD.,523023,sinclairs hotels
SAFARI INDUSTRIES (INDIA) LTD.,523025,safari industries
RAJDHANI LEASING & INDUSTRIES LTD.,523030,rajdhani leasing
ADS DIAGNOSTIC LTD.,523031,ads diagnostic
BINAYAK TEX PROCESSORS LTD.,523054,binayak tex processors
J.J.FINANCE CORPORATION LTD.,523062,j j finance corporation
COSMO FERRITES LTD.,523100,cosmo ferrites
Cropster Agro Ltd,523105,cropster agro
FUTURISTIC SECURITIES LTD.,523113,futuristic securities
SANCO TRANS LTD.,523116,sanco trans
ADOR MULTIPRODUCTS LTD.,523120,ador multiproducts
EIH ASSOCIATED HOTELS LTD.,523127,eih associated hotels
BONANZA INDUSTRIES LTD.,523133,bonanza
MEDI-CAPS LTD.,523144,medi caps
OTCO INTERNATIONAL LTD.,523151,otco international
MORGANITE CRUCIBLE (INDIA) LTD.,523160,morganite crucible
SIP INDUSTRIES LTD.,523164,sip
B&A Packaging India Limited,523186,b a packaging
CLASSIC DIAMONDS (INDIA) LTD.,523200,classic diamonds
ABAN OFFSHORE LTD.,523204,aban offshore
KOKUYO CAMLIN LTD.,523207,kokuyo camlin
Nicco Uco Alliance Credit Ltd.,523209,nicco uco alliance credit
KILBURN OFFICE AUTOMATION LTD.,523218,kilburn office automation
MCS LTD.,523221,mcs
SRM ENERGY LTD.,523222,srm energy
BHARAT SEATS LTD.,523229,bharat seats
CONTINENTAL PETROLEUMS LTD.,523232,continental petroleums
SHRENUJ & CO.LTD.,523236,shrenuj co
NB FOOTWEAR LTD.,523242,nb footwear
MACHINO PLASTICS LTD.,523248,machino plastics
PEARL POLYMERS LTD.,523260,pearl polymers
VENKY'S (INDIA) LTD.,523261,venky s
