SYMBOL,NAME OF COMPANY,normalizedName
MARATHON,Marathon Nextgen Realty Limited,marathon nextgen realty
MARICO,Marico Limited,marico
MARINE,Marine Electricals (India) Limited,marine electricals
MARKSANS,Marksans Pharma Limited,marksans pharma
MARUTI,Maruti Suzuki India Limited,maruti suzuki
MASFIN,MAS Financial Services Limited,mas financial services
MASKINVEST,Mask Investments Limited,mask investments
MASTEK,Mastek Limited,mastek
MASTERTR,Master Trust Limited,master trust
MATRIMONY,Matrimony.Com Limited,matrimony com
MAWANASUG,Mawana Sugars Limited,mawana sugars
MAXESTATES,Max Estates Limited,max estates
MAXHEALTH,Max Healthcare Institute Limited,max healthcare institute
MAXIND,Max India Limited,max
MAYURUNIQ,Mayur Uniquoters Ltd,mayur uniquoters
MAZDA,Mazda Limited,mazda
MAZDOCK,Mazagon Dock Shipbuilders Limited,mazagon dock shipbuilders
MBAPL,Madhya Bharat Agro Products Limited,madhya bharat agro products
MBEL,M & B Engineering Limited,m b engineering
MBLINFRA,MBL Infrastructure Limited,mbl infrastructure
MCL,Madhav Copper Limited,madhav copper
MCLEODRUSS,Mcleod Russel India Limited,mcleod russel
MCLOUD,Magellanic Cloud Limited,magellanic cloud
MCX,Multi Commodity Exchange of India Limited,multi commodity exchange of
MEDANTA,Global Health Limited,global health
MEDIASSIST,Medi Assist Healthcare Services Limited,medi assist healthcare services
MEDICAMEQ,Medicamen Biotech Limited,medicamen biotech
MEDICO,Medico Remedies Limited,medico remedies
MEDPLUS,Medplus Health Services Limited,medplus health services
MEGASOFT,Megasoft Limited,megasoft
MEGASTAR,Megastar Foods Limited,megastar foods
MEIL,Mangal Electrical Industries Limited,mangal electrical
MENONBE,Menon Bearings Limited,menon bearings
MEP,MEP Infrastructure Developers Limited,mep infrastructure developers
METROBRAND,Metro Brands Limited,metro brands
METROPOLIS,Metropolis Healthcare Limited,metropolis healthcare
MFML,Mahalaxmi Fabric Mills Limited,mahalaxmi fabric mills
MFSL,Max Financial Services Limited,max financial services
MGEL,Mangalam Global Enterprise Limited,mangalam global enterprise
MGL,Mahanagar Gas Limited,mahanagar gas
MHLXMIRU,Mahalaxmi Rubtech Limited,mahalaxmi rubtech
MHRIL,Mahindra Holidays & Resorts India Limited,mahindra holidays resorts
MICEL,MIC Electronics Limited,mic electronics
MIDHANI,Mishra Dhatu Nigam Limited,mishra dhatu nigam
MINDACORP,Minda Corporation Limited,minda corporation
MINDTECK,Mindteck (India) Limited,mindteck
MIRCELECTR,MIRC Electronics Limited,mirc electronics
MIRZAINT,Mirza International Limited,mirza international
MITCON,MITCON Consultancy & Engineering Services Limited,mitcon consultancy engineering services
MITTAL,Mittal Life Style Limited,mittal life style
MKPL,M K Proteins Limited,m k proteins
MMFL,MM Forgings Limited,mm forgings
MMP,MMP Industries Limited,mmp
MMTC,MMTC Limited,mmtc
MOBIKWIK,One Mobikwik Systems Limited,one mobikwik systems
MODIRUBBER,Modi Rubber Limited,modi rubber
MODISONLTD,MODISON LIMITED,modison
MODTHREAD,Modern Threads (India) Limited,modern threads
MOHITIND,Mohit Industries Limited,mohit
MOIL,MOIL Limited,moil
MOKSH,Moksh Ornaments Limited,moksh ornaments
MOL,Meghmani Organics Limited,meghmani organics
MOLDTECH,Mold-Tek Technologies Limited,mold tek technologies
MOLDTKPAC,Mold-Tek Packaging Limited,mold tek packaging
MONARCH,Monarch Networth Capital Limited,monarch networth capital
MONTECARLO,Monte Carlo Fashions Limited,monte carlo fashions
MORARJEE,Morarjee Textiles Limited,morarjee textiles
MOREPENLAB,Morepen Laboratories Limited,morepen laboratories
MOSCHIP,Moschip Technologies Limited,moschip technologies
MOTHERSON,Samvardhana Motherson International Limited,samvardhana motherson international
MOTILALOFS,Motilal Oswal Financial Services Limited,motilal oswal financial services
MOTISONS,Motisons Jewellers Limited,motisons jewellers
MOTOGENFIN,The Motor & General Finance Limited,the motor general finance
MPHASIS,MphasiS Limited,mphasis
MPSLTD,MPS Limited,mps
MRF,MRF Limited,mrf
